,Date,Time,Weather & Air Temp:,Water Temp:,Corrected Water Temp:,pH,Corrected pH,DO,Corrected DO,Turbidity,Salinity,Corrected Salinity,Tide is moving,Tide Times,# Hauls,Corrected # Hauls,Common Name,Corrected Common Name,Grouped Corrected Common Name,Quantity,Corrected Quantity,Scientific Name,Instructors/ Seine Staff:,# student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)",NOTES FROM SEINEING SEASON:,Battery Park Water Temp
462,2014-06-21,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,,Not taken,,Not taken,,,Not taken,,,,,,atlantic tomcod,atlantic tomcod,atlantic tomcod,2,2,,"Cynthia, Weston, Shellita",,Not taken,,Alive,,68.2
463,2014-06-21,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,,Not taken,,Not taken,,,Not taken,,,,,,shore shrimp,shore shrimp,shrimp,3,3,,"Cynthia, Weston, Shellita",,Not taken,,Alive,,68.2
464,2014-06-21,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,,Not taken,,Not taken,,,Not taken,,,,,,flounder,unidentified flatfish,flatfish,2,2,,"Cynthia, Weston, Shellita",,Not taken,,Alive,,68.2
465,2014-06-21,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,,Not taken,,Not taken,,,Not taken,,,,,,comb jelly,comb jelly,comb jelly,Numerous,30,,"Cynthia, Weston, Shellita",,Not taken,,Alive,,68.2
466,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,blue crab,blue crab,blue crab,3,3,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
467,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,hermit crab,unidentified hermit crab,hermit crab,1,1,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
468,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,comb jellies,comb jelly,comb jelly,8,8,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
469,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,asian shore crabs,asian shore crab,asian shore crab,1,1,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
470,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,glass shrimp,shore shrimp,shrimp,1,1,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
471,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,jvvenilee striped buss,striped bass,striped bass,5,5,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
472,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,seven spine shrimp,sand shrimp,shrimp,5,5,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
473,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,pipe fish,pin fish,porgy,1,1,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
474,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,window pain,windowpane flounder,flatfish,1,1,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
475,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,grubby sculpin family,grubby,grubby,1,1,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
476,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,alewife,alewife,herring,2,2,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
477,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,menhaden,atlantic menhaden,atlantic menhaden,1,1,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
478,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,sea horse,northern seahorse,northern seahorse,1,1,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,,69.8
479,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,comb jellies,comb jelly,comb jelly,15,15,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,,71.2
480,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,winter flounder,winter flounder,flatfish,3,3,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,,71.2
481,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,blue crab,blue crab,blue crab,1,1,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,,71.2
482,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,green crab,green crab,green crab,1,1,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,,71.2
483,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,northern kingfish,northern kingfish,northern kingfish,1,1,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,,71.2
484,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,blue fish,bluefish,bluefish,1,1,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,,71.2
485,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,striped bass,striped bass,striped bass,6,6,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,,71.2
486,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,11,11,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,,71.2
487,2014-08-23,1:00-2:30,sunny 72,Not taken,,ph=7,7.0,do=4,4.0,,s=21,21.0,,,,,striped bass,striped bass,striped bass,1,1,,"Isa, Fiona, Rashid, Cynthia, Tracy",,Participants= 50,,Alive,,73.0
488,2014-08-23,1:00-2:30,sunny 72,Not taken,,ph=7,7.0,do=4,4.0,,s=21,21.0,,,,,oyster toadfish,oyster toadfish,oyster toadfish,1,1,,"Isa, Fiona, Rashid, Cynthia, Tracy",,Participants= 50,,Alive,,73.0
489,2014-08-23,1:00-2:30,sunny 72,Not taken,,ph=7,7.0,do=4,4.0,,s=21,21.0,,,,,comb jelly,comb jelly,comb jelly,20+,20,,"Isa, Fiona, Rashid, Cynthia, Tracy",,Participants= 50,,Alive,,73.0
490,2014-08-23,1:00-2:30,sunny 72,Not taken,,ph=7,7.0,do=4,4.0,,s=21,21.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,20,20,,"Isa, Fiona, Rashid, Cynthia, Tracy",,Participants= 50,,Alive,,73.0
491,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,winter flounder,winter flounder,flatfish,1,1,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,,70.7
492,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,porgy,porgy,porgy,3,3,Stenotomus chrysops,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,,70.7
493,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,striped bass,striped bass,striped bass,23,23,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,,70.7
494,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,comb jelly,comb jelly,comb jelly,4,4,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,,70.7
495,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,silver side,atlantic silverside,atlantic silverside,10,10,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,,70.7
496,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,asian shore crabs,asian shore crab,asian shore crab,3,3,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,,70.7
497,2015-05-07,?,?,?,,?,,?,,,?,,,,,,glass shrimp,shore shrimp,shrimp,5,5,,?,,?,,,,52.9
498,2015-05-07,?,?,?,,?,,?,,,?,,,,,,sand worm,sandworm,polychaete worm,1,1,,?,,?,,,,52.9
499,2015-05-07,?,?,?,,?,,?,,,?,,,,,,asian shore crab,asian shore crab,asian shore crab,3,3,,?,,?,,,,52.9
500,2015-05-30,11:35-12:45pm,77 F,68 F,68.0,7,7.0,4,4.0,,22,22.0,,,,,striped bass,striped bass,striped bass,1,1,Morone Saxatilis,"Eliza, Shellita, Kathy Gurland",,50,,Alive,,62.6
501,2015-05-30,11:35-12:45pm,77 F,68 F,68.0,7,7.0,4,4.0,,22,22.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,1,1,Menidia Menidia,"Eliza, Shellita, Kathy Gurland",,50,,Alive,,62.6
502,2015-05-30,11:35-12:45pm,77 F,68 F,68.0,7,7.0,4,4.0,,22,22.0,,,,,sea snail,unidentified sea snail,sea snail,2,2,Unknown,"Eliza, Shellita, Kathy Gurland",,50,,Alive,,62.6
503,2015-05-30,11:35-12:45pm,77 F,68 F,68.0,7,7.0,4,4.0,,22,22.0,,,,,ghost shrimp,glass shrimp,shrimp,3,3,Palaemonetes,"Eliza, Shellita, Kathy Gurland",,50,,Alive,,62.6
504,2015-06-09,12:25,78 F,Not Taken,,pH 7,7.0,do 5,5.0,,s 21,21.0,,,,,golden star colonial tunicate,golden star tunicate,tunicates,1,1,Botryllus Schlosseri,"Nim, Isa, Krista, Anita, Maria M, Maria GM",,20 P,,Alive,,62.8
505,2015-06-09,12:25,78 F,Not Taken,,pH 7,7.0,do 5,5.0,,s 21,21.0,,,,,striped bass,striped bass,striped bass,9,9,Morone Saxatilis,"Nim, Isa, Krista, Anita, Maria M, Maria GM",,20 P,,Alive,,62.8
506,2015-06-09,12:25,78 F,Not Taken,,pH 7,7.0,do 5,5.0,,s 21,21.0,,,,,blue muscle,blue mussel,mussel,1,1,Mytilus edulis,"Nim, Isa, Krista, Anita, Maria M, Maria GM",,20 P,,Alive,,62.8
507,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,asian shore crab,asian shore crab,asian shore crab,6,6,Hemagrapsis sanguineus,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,,64.4
508,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,pipe fish,pin fish,porgy,1,1,Hippocampus,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,,64.4
509,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,box crab,box crab,box crab,1,1,Calappa,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,,64.4
510,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,striped bass,striped bass,striped bass,8,8,Morone Saxatilis,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,,64.4
511,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,colonial tunicate,colonial tunicate,tunicates,1,1,Botryllus Schlosseri,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,,64.4
512,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,hydra medusa,hydrozoa,hydrozoa,4,4,,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
513,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,sponge,unidentified sponge,sponge,1,1,,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
514,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,blue crab,blue crab,blue crab,1,1,Callinectes sapidus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
515,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,asian shore crab,asian shore crab,asian shore crab,16,16,Hemagrapsis sanguineus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,"6 Alive, 10 dead",,68.4
516,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,lady crab,lady crab,lady crab,2,2,Ovalipes ocellatus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
517,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,cunner,cunner,cunner,1,1,Tautogolabrus adspersus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
518,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,sand shrimp,sand shrimp,shrimp,9,9,crangm septiaspinosa,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
519,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,snails,unidentified snail,sea snail,4,4,,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
520,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,hermit crab,unidentified hermit crab,hermit crab,4,4,Paguroidea,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
521,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,colonial tunicate,colonial tunicate,tunicates,10 to 15,10,Botryllus Schlosseri,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
522,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,winter flounder,winter flounder,flatfish,1,1,Pseudopleuronectes americanus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
523,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,pipe fish,pin fish,porgy,1,1,Hippocampus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
524,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,striped bass,striped bass,striped bass,5,5,Morone Saxatilis,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,,68.4
525,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,comb jelly,comb jelly,comb jelly,1,1,Ctenophora,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,,72.1
526,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,alewife,alewife,herring,9,9,Alosa Pseudoharengus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,6 Alive 3 dead,,72.1
527,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,seven spine shrimp,sand shrimp,shrimp,1,1,,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,,72.1
528,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,pip fish,pin fish,porgy,1,1,Hippocampus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,,72.1
529,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,box crab,box crab,box crab,1,1,Calappa,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,,72.1
530,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,winter flounder,winter flounder,flatfish,1,1,Pseudopleuronectes americanus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,,72.1
531,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,23,23,Menidia menidia,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,,72.1
532,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,summer flounder,summer flounder,flatfish,1,1,Paralichthys dentatus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,,72.1
533,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,blue crab,blue crab,blue crab,1,1,Callinectes sapidus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,,72.1
534,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,pip fish,pin fish,porgy,,1,Hippocampus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
535,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,snail,unidentified snail,sea snail,2,2,,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
536,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,comb jelly,comb jelly,comb jelly,1,1,Ctenophor,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
537,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,asian shore crab,asian shore crab,asian shore crab,1,1,Hemigras sanguineus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
538,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,white perch,white perch,white perch,4,4,Morone americana,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
539,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,sand shrimp,sand shrimp,shrimp,2,2,Crangon septemspinosa,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
540,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,flounder righteye,winter flounder,flatfish,1,1,,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
541,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,hermit crabs,unidentified hermit crab,hermit crab,2,2,Paguroidea,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
542,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,atlantic herring,atlantic herring,herring,1,1,Clupea harengus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
543,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,striped bass 68,striped bass,striped bass,5,5,Morone saxatilis,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
544,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,blue crabs,blue crab,blue crab,2,2,Callinectes sapidus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
545,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,lady crabs,lady crab,lady crab,2,2,Ovalipes ocellatus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
546,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,12,12,Menidia menidia,"Isa,Maria,Cynthia,Kathy",,28,,Alive,,73.0
547,2015-07-13,1:17 PM,Not taken,Not taken,,not taken,,Not taken,,,not taken,,,,,,blue crab,blue crab,blue crab,1,1,Callinectes sapidus,"Nim, Sigrun, Hawa, Jeanneally, Maria",,40,,Alive,,73.9
548,2015-07-13,1:17 PM,Not taken,Not taken,,not taken,,Not taken,,,not taken,,,,,,asian shore crab,asian shore crab,asian shore crab,3,3,Hemigras sanguineus,"Nim, Sigrun, Hawa, Jeanneally, Maria",,40,,Alive,,73.9
549,2015-07-13,1:17 PM,Not taken,Not taken,,not taken,,Not taken,,,not taken,,,,,,atlantic herring,atlantic herring,herring,3,3,Clupea harengus,"Nim, Sigrun, Hawa, Jeanneally, Maria",,40,,Alive,,73.9
550,2015-07-13,1:17 PM,Not taken,Not taken,,not taken,,Not taken,,,not taken,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,10,10,Menidia menidia,"Nim, Sigrun, Hawa, Jeanneally, Maria",,40,,Alive,,73.9
551,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,scud,scud,amphipod,4,4,Hyalella azteca,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,,75.0
552,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,tunicates,tunicate,tunicates,8,8,Botryllus Schlosseri,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,,75.0
553,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,seven spine shrimp,sand shrimp,shrimp,1,1,,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,,75.0
554,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,comb jelly,comb jelly,comb jelly,4,4,Ctenophor,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,,75.0
555,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,winter flounder,winter flounder,flatfish,1,1,Pseudopleuronectes americanus,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,,75.0
556,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,striped bass,striped bass,striped bass,15,15,Morone saxatilis,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,,75.0
557,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,40,40,Menidia menidia,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive// 2 died.,,75.0
558,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,isopod,isopod,isopod,1,1,Isopod,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,,75.0
559,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,140,140,Menidia menidia,"Nim,Maria, Anita, Shellita,",,,,Alive,,73.8
560,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,striped bass,striped bass,striped bass,12,12,Morone saxatilis,"Nim,Maria, Anita, Shellita,",,,,Alive,,73.8
561,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,hermit crab,unidentified hermit crab,hermit crab,2,2,Paguroidea,"Nim,Maria, Anita, Shellita,",,,,Alive,,73.8
562,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,taotog,tautog,tautog,2,2,Tautoga onitis,"Nim,Maria, Anita, Shellita,",,,,Alive,,73.8
563,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,asian shore crab,asian shore crab,asian shore crab,4,4,Hemigras sanguineus,"Nim,Maria, Anita, Shellita,",,,,Alive,,73.8
564,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,blue fish,bluefish,bluefish,1,1,Pomatomus saltatrix,"Nim,Maria, Anita, Shellita,",,,,Alive,,73.8
565,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,box crab,box crab,box crab,2,2,Calappa,"Nim,Maria, Anita, Shellita,",,,,Alive,,73.8
566,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,comb jellies,comb jelly,comb jelly,20,20,Ctenophor,"Nim,Maria, Anita, Shellita,",,,,Alive,,73.8
567,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,seven spine shrimp,sand shrimp,shrimp,1,1,,"Nim,Maria, Anita, Shellita,",,,,Alive,,73.8
568,2015-08-15,,,,,,,,,,,,,,,,bluefish,bluefish,bluefish,3,3,,,,,,,,75.7
569,2015-08-15,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,3,3,,,,,,,,75.7
570,2015-08-15,,,,,,,,,,,,,,,,scup,porgy,porgy,14,14,,,,,,,,75.7
571,2015-08-15,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,515,515,,,,,,,,75.7
572,2015-08-15,,,,,,,,,,,,,,,,seahorse,northern seahorse,northern seahorse,1,1,,,,,,,,75.7
573,2015-09-08,10:00 AM,85 F,,,,,,,,,,,,,,pin fish,pin fish,porgy,2,2,,,,3,,,,77.4
574,2015-09-08,10:00 AM,85 F,,,,,,,,,,,,,,silversides,atlantic silverside,atlantic silverside,15,15,,,,3,,,,77.4
575,2015-09-08,10:00 AM,85 F,,,,,,,,,,,,,,bass,striped bass,striped bass,5,5,,,,3,,,,77.4
576,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,porgy,porgy,porgy,23,23,Calamus Pena,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,,75.9
577,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,201,201,Menidia Menidia,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,,75.9
578,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,northern pipefish,northern pipefish,northern pipefish,2,2,Syngnathus Fuscus,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,,75.9
