,Date,Time,Weather & Air Temp:,Water Temp:,Corrected Water Temp:,pH,Corrected pH,DO,Corrected DO,Turbidity,Salinity,Corrected Salinity,Tide is moving,Tide Times,# Hauls,Corrected # Hauls,Common Name,Corrected Common Name,Grouped Corrected Common Name,Quantity,Corrected Quantity,Scientific Name,Instructors/ Seine Staff:,# student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)",NOTES FROM SEINEING SEASON:
477,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,comb jellies,comb jelly,comb jelly,8,8,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,
478,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,pH=6,6.0,do=4,4.0,,S=20,20.0,,,,,glass shrimp,sand shrimp,shrimp,1,1,,"Nim, Shellita, Sarah B",,Participants =19,,Alive,
479,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,blue crab,blue crab,blue crab,1,1,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,
480,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,winter flounder,winter flounder,flatfish,3,3,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,
481,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,green crab,green crab,green crab,1,1,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,
482,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,comb jellies,comb jelly,comb jelly,15,15,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,
483,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,blue fish,bluefish,bluefish,1,1,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,
484,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,striped bass,striped bass,striped bass,6,6,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,
485,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,11,11,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,
486,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,Not taken,,Not taken,,,Not taken,,,,,,northern kingfish,northern kingfish,northern kingfish,1,1,,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,10,,Alive,
487,2014-08-23,1:00-2:30,sunny 72,Not taken,,ph=7,7.0,do=4,4.0,,s=21,21.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,20,20,,"Isa, Fiona, Rashid, Cynthia, Tracy",,Participants= 50,,Alive,
488,2014-08-23,1:00-2:30,sunny 72,Not taken,,ph=7,7.0,do=4,4.0,,s=21,21.0,,,,,oyster toadfish,oyster toadfish,oyster toadfish,1,1,,"Isa, Fiona, Rashid, Cynthia, Tracy",,Participants= 50,,Alive,
489,2014-08-23,1:00-2:30,sunny 72,Not taken,,ph=7,7.0,do=4,4.0,,s=21,21.0,,,,,comb jelly,comb jelly,comb jelly,20+,20,,"Isa, Fiona, Rashid, Cynthia, Tracy",,Participants= 50,,Alive,
490,2014-08-23,1:00-2:30,sunny 72,Not taken,,ph=7,7.0,do=4,4.0,,s=21,21.0,,,,,striped bass,striped bass,striped bass,1,1,,"Isa, Fiona, Rashid, Cynthia, Tracy",,Participants= 50,,Alive,
491,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,winter flounder,winter flounder,flatfish,1,1,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,
492,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,porgy,porgy,porgy,3,3,Stenotomus chrysops,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,
493,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,striped bass,striped bass,striped bass,23,23,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,
494,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,comb jelly,comb jelly,comb jelly,4,4,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,
495,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,silver side,atlantic silverside,atlantic silverside,10,10,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,
496,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,71.6,ph=7,7.0,do =4,4.0,,s=22,22.0,,,,,asian shore crabs,asian shore crab,asian shore crab,3,3,,"Isa, Kathy G, Cynthia, Shellita",,Participants =45,,Alive,
497,2015-05-07,?,?,?,,?,,?,,,?,,,,,,glass shrimp,sand shrimp,shrimp,5,5,,?,,?,,,
498,2015-05-07,?,?,?,,?,,?,,,?,,,,,,sand worm,sandworm,polychaete worm,1,1,,?,,?,,,
499,2015-05-07,?,?,?,,?,,?,,,?,,,,,,asian shore crab,asian shore crab,asian shore crab,3,3,,?,,?,,,
500,2015-05-30,11:35-12:45pm,77 F,68 F,68.0,7,7.0,4,4.0,,22,22.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,1,1,Menidia Menidia,"Eliza, Shellita, Kathy Gurland",,50,,Alive,
501,2015-05-30,11:35-12:45pm,77 F,68 F,68.0,7,7.0,4,4.0,,22,22.0,,,,,striped bass,striped bass,striped bass,1,1,Morone Saxatilis,"Eliza, Shellita, Kathy Gurland",,50,,Alive,
502,2015-05-30,11:35-12:45pm,77 F,68 F,68.0,7,7.0,4,4.0,,22,22.0,,,,,ghost shrimp,glass shrimp,shrimp,3,3,Palaemonetes,"Eliza, Shellita, Kathy Gurland",,50,,Alive,
503,2015-05-30,11:35-12:45pm,77 F,68 F,68.0,7,7.0,4,4.0,,22,22.0,,,,,sea snail,unidentified sea snail,sea snail,2,2,Unknown,"Eliza, Shellita, Kathy Gurland",,50,,Alive,
504,2015-06-09,12:25,78 F,Not Taken,,pH 7,7.0,do 5,5.0,,s 21,21.0,,,,,striped bass,striped bass,striped bass,9,9,Morone Saxatilis,"Nim, Isa, Krista, Anita, Maria M, Maria GM",,20 P,,Alive,
505,2015-06-09,12:25,78 F,Not Taken,,pH 7,7.0,do 5,5.0,,s 21,21.0,,,,,golden star colonial tunicate,golden star tunicate,tunicates,1,1,Botryllus Schlosseri,"Nim, Isa, Krista, Anita, Maria M, Maria GM",,20 P,,Alive,
506,2015-06-09,12:25,78 F,Not Taken,,pH 7,7.0,do 5,5.0,,s 21,21.0,,,,,blue muscle,blue mussel,mussel,1,1,Mytilus edulis,"Nim, Isa, Krista, Anita, Maria M, Maria GM",,20 P,,Alive,
507,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,colonial tunicate,colonial tunicate,tunicates,1,1,Botryllus Schlosseri,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,
508,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,striped bass,striped bass,striped bass,8,8,Morone Saxatilis,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,
509,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,pipe fish,pin fish,pin fish,1,1,Hippocampus,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,
510,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,box crab,box crab,box crab,1,1,Calappa,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,
511,2015-06-11,11:10,79 F,Not Taken,,pH 7,7.0,4,4.0,,25,25.0,,,,,asian shore crab,asian shore crab,asian shore crab,6,6,Hemagrapsis sanguineus,"Nim, Isa, Krista, Anita, Maria M, Darby",,25 P,,Alive,
512,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,hermit crab,unidentified hermit crab,hermit crab,4,4,Paguroidea,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
513,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,cunner,cunner,cunner,1,1,Tautogolabrus adspersus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
514,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,asian shore crab,asian shore crab,asian shore crab,16,16,Hemagrapsis sanguineus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,"6 Alive, 10 dead",
515,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,pipe fish,pin fish,pin fish,1,1,Hippocampus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
516,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,striped bass,striped bass,striped bass,5,5,Morone Saxatilis,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
517,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,winter flounder,winter flounder,flatfish,1,1,Pseudopleuronectes americanus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
518,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,colonial tunicate,colonial tunicate,tunicates,10 to 15,10,Botryllus Schlosseri,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
519,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,snails,unidentified snail,sea snail,4,4,,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
520,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,hydra medusa,hydrozoa,hydrozoa,4,4,,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
521,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,sand shrimp,sand shrimp,shrimp,9,9,crangm septiaspinosa,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
522,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,lady crab,lady crab,lady crab,2,2,Ovalipes ocellatus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
523,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,sponge,unidentified sponge,sponge,1,1,,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
524,2015-06-14,13:22,80 F,20 C,68.0,7,7.0,DO 4,4.0,,33,33.0,,,,,blue crab,blue crab,blue crab,1,1,Callinectes sapidus,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",,50,,Alive,
525,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,summer flounder,summer flounder,flatfish,1,1,Paralichthys dentatus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,
526,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,23,23,Menidia menidia,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,
527,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,winter flounder,winter flounder,flatfish,1,1,Pseudopleuronectes americanus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,
528,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,blue crab,blue crab,blue crab,1,1,Callinectes sapidus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,
529,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,box crab,box crab,box crab,1,1,Calappa,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,
530,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,pip fish,pin fish,pin fish,1,1,Hippocampus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,
531,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,seven spine shrimp,sand shrimp,shrimp,1,1,,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,
532,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,alewife,alewife,herring,9,9,Alosa Pseudoharengus,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,6 Alive 3 dead,
533,2015-07-10,10:45 AM,84F,26 C,78.8,7,7.0,DO 4,4.0,,36,36.0,,,,,comb jelly,comb jelly,comb jelly,1,1,Ctenophora,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",,55,,Alive,
534,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,lady crabs,lady crab,lady crab,2,2,Ovalipes ocellatus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
535,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,12,12,Menidia menidia,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
536,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,striped bass 68,striped bass,striped bass,5,5,Morone saxatilis,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
537,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,atlantic herring,atlantic herring,herring,1,1,Clupea harengus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
538,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,hermit crabs,unidentified hermit crab,hermit crab,2,2,Paguroidea,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
539,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,asian shore crab,asian shore crab,asian shore crab,1,1,Hemigras sanguineus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
540,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,blue crabs,blue crab,blue crab,2,2,Callinectes sapidus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
541,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,flounder righteye,winter flounder,flatfish,1,1,,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
542,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,pip fish,pin fish,pin fish,,1,Hippocampus,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
543,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,white perch,white perch,white perch,4,4,Morone americana,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
544,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,snail,unidentified snail,sea snail,2,2,,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
545,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,comb jelly,comb jelly,comb jelly,1,1,Ctenophor,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
546,2015-07-11,,Not taken,Not taken,,7,7.0,DO 4,4.0,,1,1.0,,,,,sand shrimp,sand shrimp,shrimp,2,2,Crangon septemspinosa,"Isa,Maria,Cynthia,Kathy",,28,,Alive,
547,2015-07-13,1:17 PM,Not taken,Not taken,,not taken,,Not taken,,,not taken,,,,,,blue crab,blue crab,blue crab,1,1,Callinectes sapidus,"Nim, Sigrun, Hawa, Jeanneally, Maria",,40,,Alive,
548,2015-07-13,1:17 PM,Not taken,Not taken,,not taken,,Not taken,,,not taken,,,,,,asian shore crab,asian shore crab,asian shore crab,3,3,Hemigras sanguineus,"Nim, Sigrun, Hawa, Jeanneally, Maria",,40,,Alive,
549,2015-07-13,1:17 PM,Not taken,Not taken,,not taken,,Not taken,,,not taken,,,,,,atlantic herring,atlantic herring,herring,3,3,Clupea harengus,"Nim, Sigrun, Hawa, Jeanneally, Maria",,40,,Alive,
550,2015-07-13,1:17 PM,Not taken,Not taken,,not taken,,Not taken,,,not taken,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,10,10,Menidia menidia,"Nim, Sigrun, Hawa, Jeanneally, Maria",,40,,Alive,
551,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,isopod,isopod,isopod,1,1,Isopod,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,
552,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,40,40,Menidia menidia,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive// 2 died.,
553,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,striped bass,striped bass,striped bass,15,15,Morone saxatilis,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,
554,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,winter flounder,winter flounder,flatfish,1,1,Pseudopleuronectes americanus,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,
555,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,seven spine shrimp,sand shrimp,shrimp,1,1,,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,
556,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,scud,scud,amphipod,4,4,Hyalella azteca,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,
557,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,tunicates,tunicate,tunicates,8,8,Botryllus Schlosseri,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,
558,2015-07-28,11:30 AM,90 F,23 C,73.4,7,7.0,DO 4,4.0,,29,29.0,,,,,comb jelly,comb jelly,comb jelly,4,4,Ctenophor,"Nim, Sigrun, Hawa, Jeanneally, Maria",,45,,Alive,
559,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,140,140,Menidia menidia,"Nim,Maria, Anita, Shellita,",,,,Alive,
560,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,striped bass,striped bass,striped bass,12,12,Morone saxatilis,"Nim,Maria, Anita, Shellita,",,,,Alive,
561,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,hermit crab,unidentified hermit crab,hermit crab,2,2,Paguroidea,"Nim,Maria, Anita, Shellita,",,,,Alive,
562,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,taotog,tautog,tautog,2,2,Tautoga onitis,"Nim,Maria, Anita, Shellita,",,,,Alive,
563,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,asian shore crab,asian shore crab,asian shore crab,4,4,Hemigras sanguineus,"Nim,Maria, Anita, Shellita,",,,,Alive,
564,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,blue fish,bluefish,bluefish,1,1,Pomatomus saltatrix,"Nim,Maria, Anita, Shellita,",,,,Alive,
565,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,box crab,box crab,box crab,2,2,Calappa,"Nim,Maria, Anita, Shellita,",,,,Alive,
566,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,comb jellies,comb jelly,comb jelly,20,20,Ctenophor,"Nim,Maria, Anita, Shellita,",,,,Alive,
567,2015-08-09,10:15 AM - 12,81 F Sunny,25 C,77.0,,,DO 4,4.0,,31,31.0,,,,,seven spine shrimp,sand shrimp,shrimp,1,1,,"Nim,Maria, Anita, Shellita,",,,,Alive,
568,2015-08-15,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,515,515,,,,,,,
569,2015-08-15,,,,,,,,,,,,,,,,scup,scup,scup,14,14,,,,,,,
570,2015-08-15,,,,,,,,,,,,,,,,seahorse,northern seahorse,northern seahorse,1,1,,,,,,,
571,2015-08-15,,,,,,,,,,,,,,,,bluefish,bluefish,bluefish,3,3,,,,,,,
572,2015-08-15,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,3,3,,,,,,,
573,2015-09-08,10:00 AM,85 F,,,,,,,,,,,,,,pin fish,pin fish,pin fish,2,2,,,,3,,,
574,2015-09-08,10:00 AM,85 F,,,,,,,,,,,,,,bass,bass,bass,5,5,,,,3,,,
575,2015-09-08,10:00 AM,85 F,,,,,,,,,,,,,,silversides,atlantic silverside,atlantic silverside,15,15,,,,3,,,
576,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,comb jelly,comb jelly,comb jelly,2,2,Ctenophora,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,
577,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,asian shore crab,asian shore crab,asian shore crab,2,2,Hemigraspus sanguineus,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,
578,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,porgy,porgy,porgy,23,23,Calamus Pena,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,
579,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,201,201,Menidia Menidia,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,
580,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,northern pipefish,northern pipefish,northern pipefish,2,2,Syngnathus Fuscus,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,
581,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,blue crab,blue crab,blue crab,1,1,Callinectes sapidus,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Male/Alive,
582,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,common shore shrimp,shore shrimp,shrimp,1,1,Palaemonetes,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,
583,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,winter flounder,winter flounder,flatfish,2,2,Pleuronectes Americanus,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,
584,2015-09-12,2-3:30 PM,78 F Sunny,Not Taken,,pH 7,7.0,DO 5,5.0,,Not Taken,,,,,,bluespotted cornetfish,bluespotted cornetfish,bluespotted cornetfish,1,1,Fistularia commersonii,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",,45,,Alive,
585,2015-09-25,10:00-1:00 PM,70 F Sunny,Not taken,,7,7.0,4 PPM,4.0,,22,22.0,,,,,blue fish,bluefish,bluefish,1,1,Pomatomus saltatrix,"Isa, Nim, Shellita, Beth, Andrew, Shawn, Chris, Jordan",,70,,Alive,
586,2015-09-25,10:00-1:00 PM,70 F Sunny,Not taken,,7,7.0,4 PPM,4.0,,22,22.0,,,,,atlantic silverside,atlantic silverside,atlantic silverside,73,73,Menidia Menidia,"Isa, Nim, Shellita, Beth, Andrew, Shawn, Chris, Jordan",,70,,Alive,
587,2015-09-25,10:00-1:00 PM,70 F Sunny,Not taken,,7,7.0,4 PPM,4.0,,22,22.0,,,,,blue crab,blue crab,blue crab,1,1,Callinectes sapidus,"Isa, Nim, Shellita, Beth, Andrew, Shawn, Chris, Jordan",,70,,Alive,
588,2015-09-25,10:00-1:00 PM,70 F Sunny,Not taken,,7,7.0,4 PPM,4.0,,22,22.0,,,,,comb jelly,comb jelly,comb jelly,2,2,Ctenophora,"Isa, Nim, Shellita, Beth, Andrew, Shawn, Chris, Jordan",,70,,Alive,
589,2015-09-25,10:00-1:00 PM,70 F Sunny,Not taken,,7,7.0,4 PPM,4.0,,22,22.0,,,,,asian shore crab,asian shore crab,asian shore crab,8,8,Hemigraspus sanguineus,"Isa, Nim, Shellita, Beth, Andrew, Shawn, Chris, Jordan",,70,,Alive,
590,2015-09-25,10:00-1:00 PM,70 F Sunny,Not taken,,7,7.0,4 PPM,4.0,,22,22.0,,,,,oyster drill,oyster drill snail,sea snail,1,1,Urosalpinx cinerea,"Isa, Nim, Shellita, Beth, Andrew, Shawn, Chris, Jordan",,70,,Alive,
591,2015-09-25,10:00-1:00 PM,70 F Sunny,Not taken,,7,7.0,4 PPM,4.0,,22,22.0,,,,,menhaden,atlantic menhaden,atlantic menhaden,5,5,Brevoortia  tyrannus,"Isa, Nim, Shellita, Beth, Andrew, Shawn, Chris, Jordan",,70,,Alive,
592,2015-09-25,10:00-1:00 PM,70 F Sunny,Not taken,,7,7.0,4 PPM,4.0,,22,22.0,,,,,tautogblackfish,tautog,tautog,1,1,Tautoga onitis,"Isa, Nim, Shellita, Beth, Andrew, Shawn, Chris, Jordan",,70,,Alive,
593,2015-10-15,4-6 PM,64 F,66 F,66.0,7,7.0,4,4.0,,30,30.0,,,,,winter flounder righteye,winter flounder,flatfish,3,3,Pleuronectes Americanus,"Isa, Shellita, Kathy Nolan",,31,,Alive,
594,2015-10-15,4-6 PM,64 F,66 F,66.0,7,7.0,4,4.0,,30,30.0,,,,,blackfish tautog,tautog,tautog,1,1,Tautoga onitis,"Isa, Shellita, Kathy Nolan",,31,,Alive,
595,2015-10-15,4-6 PM,64 F,66 F,66.0,7,7.0,4,4.0,,30,30.0,,,,,striped bass,striped bass,striped bass,1,1,Morone saxatilis,"Isa, Shellita, Kathy Nolan",,31,,Alive,
